	1	2	3	4	5	6	7	8	9	10	20	30	40	50	60	70	80	90	100	200	300	400	500	600	700	800	900	1000
0.01	6.047208198966918	12.163653465478587	18.15883533515161	24.439049205435765	30.423870817266234	36.4546544889622	42.8053567790947	48.18177993901318	54.80481797587871	60.69267904430816	120.7545221328893	180.8195897594426	244.35728457198186	302.88235482092244	366.99685552631405	428.55595569712176	483.6782938328261	539.2288445342741	604.4237863247762	1217.150610955706	1817.7267534151285	2425.3942239221824	2988.1566684347245	3628.493536897619	4218.923606403403	4812.503765247784	5453.12975047299	5968.2872366208785
0.02	4.850972740127343	9.592019978127292	14.49010340482227	19.389668760293024	24.021141085783892	29.095688479382286	33.57447823412829	38.68076109604059	43.75969397451839	48.143149218609146	97.16510080772788	143.0010742393232	192.6313751214226	242.0454361881827	289.81068224270024	335.90941554481446	383.1215294584792	429.8318815654345	482.7198722700257	950.4988235262877	1452.7685891003248	1906.8050282609904	2400.779241310277	2921.0278275882383	3338.5918737335464	3894.2857376889297	4347.457955542167	4810.244768238518
0.03	4.21582882304365	8.322933607018662	12.576437374935306	16.841772616281926	21.010596693445066	25.22601558430101	29.70680491067825	34.04498489006162	37.59135785780927	42.034692745698045	83.34094473139467	127.86845603643984	168.79043435841325	210.90917706903537	254.31436610364528	298.80929399053923	336.84115762190584	378.95191372034265	417.8575688010919	841.6010410963953	1269.3514701266613	1663.3296248788242	2070.0292860933037	2528.2458515172398	2972.4969235569806	3384.395868616648	3789.3899320072787	4196.149352883529
0.04	3.862094985901736	7.75219922211057	11.472304813878424	15.420790543124397	19.039402983887374	23.14864150156418	26.783608208325248	30.480273850358085	34.57604208804427	38.015692741426015	77.41973003277222	115.53302497015373	154.63997933425838	192.05913263725873	229.67838989325517	271.64382580651056	305.3015222535264	342.57212873557495	384.49783139622195	772.8002568675779	1137.9073760508293	1507.218235334595	1913.534135071608	2313.435019895437	2695.2833664562086	3068.7699268920983	3429.497684686342	3854.831122459723
0.05	3.526263230140271	7.12718221270748	10.66073144966714	14.195154893224325	17.83895551168903	21.482556574384567	24.973166847836705	28.455388883837276	32.35264344389338	35.754900184514014	70.8863217267402	108.42273752176241	143.2042634675248	177.9382384850984	215.09702233206843	250.352415871852	283.35188236368134	323.53332864825916	354.0970480381374	703.1512230240991	1070.7694141273569	1428.4334766800755	1805.8040115462147	2130.0626421985185	2502.7659868809546	2845.9161918591103	3205.110636734059	3596.5063290092976
0.06	3.357078099387407	6.696977291925461	10.040700744716213	13.614731119877865	16.57578157726805	20.2787877707632	23.209065972431816	26.68326370493106	30.391846259695868	33.93408913272052	67.62609854788104	100.6079675551792	133.20018975847483	168.1606299174636	203.88536415297818	233.27966550017408	270.4092101110295	302.2971083240143	334.6596045350109	665.0436330180518	1010.061712818405	1349.3318815889452	1687.0944870622602	2023.4995204460356	2349.4582414014358	2681.7119149293694	3031.2098894871065	3399.6915725110707
0.07	3.199223940850739	6.404392106317404	9.532655618406231	12.79879981160739	16.22805579973886	19.216508066387274	22.63571318407871	25.807022482817164	29.03892794418835	32.060062670267996	64.1556489501687	96.5826707498778	128.27449296497804	160.75920186752913	193.16771123146333	226.22512951501238	257.13877654224336	288.7247270400901	321.13131816233823	634.4697155562354	957.6097356343317	1285.9627769493277	1607.634479299482	1933.535133497102	2261.9320127043725	2570.068114377352	2876.449393597671	3239.0078493833435
0.08	3.050165809293978	6.178632704821936	9.284988746061435	12.306111673701409	15.439469556361576	18.358597748438882	21.634898809170124	24.626282021406755	27.299313359791885	30.895774210377557	61.72433857313486	93.17050509933925	122.25480598840414	153.42105631173953	184.65235130379273	217.18678628453267	246.42178614600124	277.50001453409755	306.8733254408203	611.2224715554266	925.0616833216658	1237.2228181894745	1537.3069010117874	1857.811262664215	2151.4965691942184	2462.364479062822	2756.3053202664373	3111.291550941013
0.09	2.996982427076305	5.966910179402497	8.966854992456877	11.99795531838665	14.813307331975333	17.82870089065813	20.706756591204034	23.59477011731845	26.845649075992554	29.9362417735783	58.97005330050723	90.0666790451692	118.97699494683376	148.87895148798026	176.45386190581922	207.32271996064094	237.648714684578	266.25797452868295	300.34373574621117	590.0130388188916	886.9092873641126	1186.4905754805748	1477.293678016532	1783.8619272619114	2082.4938279774005	2374.2618074131196	2712.953966649683	2969.5025110022248
0.1	2.855810062520575	5.763243463798646	8.566455421766538	11.579386382476365	14.387308681612467	17.405685813655776	20.157368877116006	23.03435232381177	25.892141372903662	28.541126596189144	57.75481515389218	86.9542526769522	116.02744079277075	143.94656106327795	173.03557776155105	201.87492827846242	230.27860690095443	258.687256845881	286.73622279688	580.9021891535135	855.4933709301572	1154.0851785414873	1452.9197131887768	1714.0148120421818	2022.6513027237268	2293.736223972455	2602.021575407661	2891.155545169819
0.2	2.457462552032316	4.877397455903543	7.401853628487753	9.76767905622122	12.197049530907494	14.758740330674252	17.234104591971963	19.478179419832724	21.933055929182512	24.36905028260512	48.20764327440472	72.63013504752635	97.95176384452776	122.30422936478436	144.37496599382783	172.82819298829423	194.52965964125806	218.16905136650325	243.04510111901345	488.57513207176515	727.3018722010459	981.7190053366846	1221.5387095538988	1459.2561774393112	1686.8282362222928	1942.3228658206535	2170.3839470159883	2432.7141638726034
